COMPANY_ACCOUNT;MERCHANT_ACCOUNT;BATCH_NUMBER;PSP_REFERENCE;ORDER_REF;PAYMENT_METHOD;DATE;TIMEZONE;TYPE;MODIFICATION_REFERENCE;CURRENCY;NET;FEE;GROSS
JetBrains;JetBrainsAmericasUSD;29;{FDAF4F37-3056-49EA-BFAA-38E36308D7EA};A000443114;visa;2019-05-31;UTC;Settled;{7458435F-A650-43FD-B7BC-7FBB8E4DCF41};USD;319.00;17.00;336.00
JetBrains;JetBrainsAmericasUSD;29;{D26F8105-C1AF-4944-9F9F-517F6BB98249};C000406817;visa;2019-05-22;UTC;Settled;{2FA46440-2AAB-4D9F-8FC5-491F2C93C50E};USD;717.00;38.00;755.00
JetBrains;JetBrainsAmericasUSD;29;{87F6D6E8-9963-45DA-B83E-BB41A52F1991};C000520250;mc;2019-06-02;UTC;Settled;{669A841B-2849-4045-ABFA-ED88BBE7D07D};USD;238.00;12.00;250.00
JetBrains;JetBrainsAmericasUSD;29;{E966F462-CEA3-451B-9D27-7EABCDAEF7AC};E000646474;mc;2019-05-26;UTC;Settled;{DDBAEA31-81A1-4686-8D30-1941842862E9};USD;247.00;13.00;260.00
JetBrains;JetBrainsAmericasUSD;29;{6092298C-B35E-422C-95FA-F240AA81B981};A000250305;visa;2019-06-05;UTC;Settled;{FC490894-8018-4BA0-98D3-43A83D766077};USD;48.00;2.00;50.00
JetBrains;JetBrainsAmericasUSD;29;{863A252B-3966-47DE-A3B6-7365CE4AEF15};Z000112429;mc;2019-05-17;UTC;Settled;{C7347449-8D07-438D-AD4F-344D4E464766};USD;120.00;6.00;126.00
JetBrains;JetBrainsAmericasUSD;29;{E0958E6A-887E-492A-9FF7-3B005F6F88BC};R000080938;mc;2019-06-03;UTC;Settled;{1FEC2454-C9BA-4C52-8184-043F4E2C0A6C};USD;242.00;13.00;255.00
JetBrains;JetBrainsAmericasUSD;29;{8A796871-ED5A-4EF5-B4C4-D6AA20ED18DA};Z000166277;visa;2019-05-17;UTC;Settled;{B46004D4-6C7A-44A3-8526-E394D86EED1D};USD;574.00;30.00;604.00
JetBrains;JetBrainsAmericasUSD;29;{EA0BF2B7-102C-4618-A3C8-4B3B461A6355};E000073897;mc;2019-06-03;UTC;Settled;{BF794A1A-59DA-44CA-A908-9EAFD9CC920B};USD;494.00;26.00;520.00
JetBrains;JetBrainsAmericasUSD;29;{5F771B40-3D65-45E1-869D-960234AF13E3};C000619096;mc;2019-06-08;UTC;Settled;{C7AE4032-977A-404D-BBEE-B85F88D2D99A};USD;93.00;5.00;98.00
JetBrains;JetBrainsAmericasUSD;29;{CBE9F9C0-20A0-48B9-A91B-ECEEB360F2E6};A000224886;visa;2019-05-25;UTC;Settled;{F453E307-5A10-42AC-A5CC-46EC0555131A};USD;209.00;11.00;220.00
JetBrains;JetBrainsAmericasUSD;29;{E880D278-30F2-490F-A55F-E2C8A55E96AA};A000266824;mc;2019-05-26;UTC;Settled;{BEA0C513-93F9-4767-A0B6-524CF198F47F};USD;48.00;2.00;50.00
JetBrains;JetBrainsAmericasUSD;29;{B0B0B1B1-D18E-491A-8174-D05269C8BFB1};Z000612901;visa;2019-05-28;UTC;Settled;{8EE1BA8E-59A4-43B1-A1DE-8DE7D2E8FC18};USD;146.00;8.00;154.00
JetBrains;JetBrainsAmericasUSD;29;{94F0341B-CB6D-4EC9-AE23-65A95D914CB0};Z000144515;visa;2019-06-02;UTC;Settled;{EBF41ABD-0F2B-4BFD-8AC5-2B8442DB904F};USD;114.00;6.00;120.00
JetBrains;JetBrainsAmericasUSD;29;{BF44E841-D0BA-43DA-B9FD-70D4B716F3E2};C000056567;visa;2019-06-08;UTC;Settled;{8DD96335-A225-4FE5-B8E9-224C55A3BC7A};USD;276.00;14.00;290.00
