COMPANY_ACCOUNT;MERCHANT_ACCOUNT;BATCH_NUMBER;PSP_REFERENCE;ORDER_REF;PAYMENT_METHOD;DATE;TIMEZONE;TYPE;MODIFICATION_REFERENCE;CURRENCY;NET;FEE;GROSS
JetBrains;JetBrainsEUR;31;{993391FA-1189-4B84-8FE3-5A0BF0F4114B};A000528786;visa;2019-07-18;UTC;Settled;{FAE30BEF-CFD5-4261-9A3A-8C282F0D8B28};EUR;569.00;30.00;599.00
JetBrains;JetBrainsEUR;31;{86AF3CCB-5DC7-4178-911D-01A7B32516D1};R000072996;visa;2019-07-18;UTC;Settled;{5108D914-E4F2-4E8C-BC5C-9B8780923516};EUR;230.00;12.00;242.00
JetBrains;JetBrainsEUR;31;{DE0E3D87-66B1-453A-973F-5A26C2973E47};E000598991;visa;2019-07-17;UTC;Settled;{CE167FFD-ED6A-4705-B63B-371BA4F8EFBE};EUR;1226.00;64.00;1290.00
JetBrains;JetBrainsEUR;31;{8AFC6429-A07C-476C-A1AE-4550FA93C6BF};R000555821;mc;2019-07-17;UTC;Settled;{E59895D6-BEC0-495B-866D-DA06748D3552};EUR;304.00;16.00;320.00
JetBrains;JetBrainsEUR;31;{601F89E2-95F5-4A4C-AE87-D53B6CC1619B};Z000147316;visa;2019-07-17;UTC;Settled;{CCDEA64A-EF15-4445-AB3F-CA5B520F4711};EUR;185.00;10.00;195.00
JetBrains;JetBrainsEUR;31;{57650537-F701-44BC-A96F-29556DB83297};E000666312;visa;2019-07-19;UTC;Settled;{260DF2D9-7737-4548-B053-5DA700835B63};EUR;133.00;7.00;140.00
JetBrains;JetBrainsEUR;31;{450BC9F3-6C80-4614-8AE5-DB0EDA32BD1E};R000387200;mc;2019-07-17;UTC;Settled;{1AD15C0A-B783-4B41-A53E-18823639E80D};EUR;209.00;11.00;220.00
JetBrains;JetBrainsEUR;31;{0DE14303-FD77-457B-A704-62CF93C7CB3E};R000081084;visa;2019-07-17;UTC;Settled;{CAEF77A1-198D-48BF-85A6-4AC73998A1F1};EUR;432.00;23.00;455.00
JetBrains;JetBrainsEUR;31;{B2E8FD15-F0D3-45AD-8732-C2D12112AEA8};C000306860;visa;2019-07-17;UTC;Settled;{50DD0EE0-7E63-4272-8AFD-74E13ECA7CAC};EUR;494.00;26.00;520.00
JetBrains;JetBrainsEUR;31;{33966C01-F49C-4EBC-8767-CC9B19E433B1};A000524526;mc;2019-07-17;UTC;Settled;{4CAA496E-9AE9-4004-86B3-3E6D0354178C};EUR;133.00;7.00;140.00
JetBrains;JetBrainsEUR;31;{2F606F14-F0B2-449B-8039-5AB1ABE97971};E000486238;visa;2019-07-18;UTC;Settled;{6BB12537-3025-4F35-99E8-F8A87427CCFB};EUR;160.00;8.00;168.00
JetBrains;JetBrainsEUR;31;{C2CDAF96-BA68-4204-822C-6192A7B2459D};A000312221;visa;2019-07-18;UTC;Settled;{625C4B64-F53E-486E-AC26-C1FF064F5546};EUR;589.00;31.00;620.00
JetBrains;JetBrainsEUR;31;{43391186-002E-468C-B2A6-D3EFE5F8F87E};E000071835;mc;2019-07-19;UTC;Settled;{109D690B-D553-448F-B0EF-093291398AD1};EUR;120.00;6.00;126.00
JetBrains;JetBrainsEUR;31;{491622E9-9AD3-44C4-B26F-CF1DAF227A88};R000203858;visa;2019-07-18;UTC;Settled;{B81F7062-0EF0-4197-A989-D6B5EC6F7BA6};EUR;285.00;15.00;300.00
JetBrains;JetBrainsEUR;31;{48966087-FC44-49D4-9E30-D4B6EAE4BAE4};Z000423712;mc;2019-07-19;UTC;Settled;{1109E7FD-7082-4A5F-AC37-737E7008BD00};EUR;260.00;14.00;274.00
JetBrains;JetBrainsEUR;31;{7CC7FC19-04AF-4C14-8B38-3189D41987E3};C000421090;mc;2019-07-17;UTC;Settled;{4F321672-F2DB-400D-AB39-EDE92FDAE68B};EUR;333.00;17.00;350.00
JetBrains;JetBrainsEUR;31;{A50BB015-96E2-40AF-9E9E-ACEB243285E2};C000385661;visa;2019-07-18;UTC;Settled;{D93B6F4C-B13A-4942-9D34-B32FBCD3F181};EUR;428.00;22.00;450.00
JetBrains;JetBrainsEUR;31;{9CD6EC43-3401-4876-9D45-267BDE3884F6};R000179203;visa;2019-07-19;UTC;Settled;{C7AC119A-52C5-49F2-BE9E-C99C5DB6EB8F};EUR;711.00;37.00;748.00
JetBrains;JetBrainsEUR;31;{ADA67244-3A56-48A4-810C-04E8DBC5B386};C000085545;visa;2019-07-17;UTC;Settled;{6C764FF7-5C48-4135-8642-7C8D9D91A578};EUR;523.00;27.00;550.00
JetBrains;JetBrainsEUR;31;{32F46C5E-527F-494C-AA96-068153163D15};A000228606;visa;2019-07-17;UTC;Settled;{9C56D49C-5F6B-499C-B1DD-F4FFB3F53FA6};EUR;175.00;9.00;184.00
JetBrains;JetBrainsEUR;31;{3CF1614F-3F7A-454C-A97E-346B2F4F2930};R000210480;visa;2019-07-19;UTC;Settled;{134632F3-00DD-4933-9587-5F91E4251804};EUR;409.00;21.00;430.00
JetBrains;JetBrainsEUR;31;{45DE4037-BB73-4C69-B2C5-11B3C16CD42E};C000579206;visa;2019-07-17;UTC;Settled;{73DF4651-2A96-494A-ABC9-F2E9A3C8C821};EUR;428.00;22.00;450.00
JetBrains;JetBrainsEUR;31;{E549C4D6-F055-40E1-A29A-945D7C0CF0FF};A000222750;mc;2019-07-18;UTC;Settled;{90942D87-EF75-4F56-BD5F-FCAF00F4CC1E};EUR;228.00;12.00;240.00
JetBrains;JetBrainsEUR;31;{4B135FD1-7391-48D0-8742-A07CFF9F7ACE};E000376584;visa;2019-07-19;UTC;Settled;{C8FF4DDD-6D62-4E7B-9D56-DDE5A96BB43E};EUR;608.00;32.00;640.00
JetBrains;JetBrainsEUR;31;{619451CA-3505-499E-8FF3-8A841A3F7E55};E000185340;visa;2019-07-17;UTC;Settled;{0C375B8B-32F7-4A0A-B2D4-0FF8A3DA1FC5};EUR;38.00;2.00;40.00
JetBrains;JetBrainsEUR;31;{6A0B1233-CFD4-4DFE-88AD-97164E3A46FB};C000335934;visa;2019-07-17;UTC;Settled;{60EEB358-C676-4390-97F0-E77B5A139D73};EUR;475.00;25.00;500.00
JetBrains;JetBrainsEUR;31;{52724603-3486-42D5-A056-1584616F1D3F};A000495493;mc;2019-07-17;UTC;Settled;{0D7516B9-26DE-4307-88F5-8C0583D6300D};EUR;507.00;27.00;534.00
JetBrains;JetBrainsEUR;31;{3C1E4117-5901-4955-8A78-C7ECA42BC2A7};C000304517;mc;2019-07-19;UTC;Settled;{9B6AE76D-2E39-472A-8DA3-B2F4B67AA530};EUR;423.00;22.00;445.00
JetBrains;JetBrainsEUR;31;{13135720-3CD0-46C7-97D3-A116E520636A};E000082333;visa;2019-07-18;UTC;Settled;{B5BB6262-AF99-4110-8A59-F73D9841F637};EUR;48.00;2.00;50.00
JetBrains;JetBrainsEUR;31;{5AB60FA7-C7A8-4C33-84E6-74060EE3D26C};A000511826;visa;2019-07-17;UTC;Settled;{DC4996C7-EA3E-4CCF-A949-1C22B732250D};EUR;570.00;30.00;600.00
JetBrains;JetBrainsEUR;31;{A6CBC2E8-62DF-408E-ADF6-FA311F3F360A};C000561069;mc;2019-07-17;UTC;Settled;{31D3234B-B023-4412-A786-D3EF9F7C5F6C};EUR;1093.00;57.00;1150.00
JetBrains;JetBrainsEUR;31;{2F43D7C0-654E-47FC-84E1-2C9C4D9122E8};Z000073495;visa;2019-07-17;UTC;Settled;{212BC427-9287-4ABA-8048-2C4864AD78DD};EUR;118.00;6.00;124.00
JetBrains;JetBrainsEUR;31;{3258BFF1-AA71-44B1-BD6F-8D757E95DA27};A000060087;visa;2019-07-18;UTC;Settled;{D4F26A3A-F48E-4289-9BCB-EAFECC19F4D3};EUR;570.00;30.00;600.00
JetBrains;JetBrainsEUR;31;{B2CF4733-8539-4558-8F44-C62BDDE7D0E1};R000574478;mc;2019-07-18;UTC;Settled;{CBD92A62-A380-41C9-A067-DA86A800C637};EUR;645.00;34.00;679.00
JetBrains;JetBrainsEUR;31;{07D7AEFD-CC6F-4D96-A84E-D9E1EC4CF81E};C000435492;visa;2019-07-18;UTC;Settled;{5AAB287D-1CC2-47F1-B48C-BAC23EBDFE09};EUR;513.00;27.00;540.00
JetBrains;JetBrainsEUR;31;{D6A816AE-D58E-4E9B-8DAB-239626F521CE};E000453711;visa;2019-07-18;UTC;Settled;{393C91DC-24FC-4052-A6C6-88C14E638E82};EUR;1140.00;60.00;1200.00
JetBrains;JetBrainsEUR;31;{6E7DB2DA-D10D-43FF-B1F1-AF6E32C79BEE};R000123953;mc;2019-07-17;UTC;Settled;{E091C1AC-35F7-4945-8E0E-C19CBE12C1D1};EUR;243.00;13.00;256.00
JetBrains;JetBrainsEUR;31;{6AA826B6-E33A-4275-8C1F-6C9395DDD230};E000400780;mc;2019-07-17;UTC;Settled;{C609B687-B034-4751-A581-843FE40AFDDB};EUR;580.00;30.00;610.00
JetBrains;JetBrainsEUR;31;{ABB89743-3FE1-4E5A-B6EF-916E37C070CD};Z000188906;mc;2019-07-18;UTC;Settled;{9D1B9B4C-BCD7-460D-9FAC-5F9FE72ACDD2};EUR;228.00;12.00;240.00
JetBrains;JetBrainsEUR;31;{E7B4B795-12F0-40FA-9BD4-A76266269EE2};R000283880;visa;2019-07-19;UTC;Settled;{947B4B89-B61B-4273-A2E9-DC5A98740D7B};EUR;40.00;2.00;42.00
JetBrains;JetBrainsEUR;31;{8520762E-E504-4A83-9EFA-0C11F4151E49};Z000523680;visa;2019-07-18;UTC;Settled;{4B03DCD5-1AF3-4D3B-9E26-E1FAA51FA070};EUR;120.00;6.00;126.00
JetBrains;JetBrainsEUR;31;{17C951DF-4886-4637-9F5F-20457FA20151};C000642486;visa;2019-07-19;UTC;Settled;{6792DCBC-2B58-416F-9C4D-58E5A7729E95};EUR;371.00;19.00;390.00
JetBrains;JetBrainsEUR;31;{053D9294-6A3A-47DC-81BC-CDF56FCDF527};A000305071;visa;2019-07-19;UTC;Settled;{99BB5DB2-D120-4EFC-9232-383E63F7B7B2};EUR;152.00;8.00;160.00
