COMPANY_ACCOUNT;MERCHANT_ACCOUNT;BATCH_NUMBER;PSP_REFERENCE;ORDER_REF;PAYMENT_METHOD;DATE;TIMEZONE;TYPE;MODIFICATION_REFERENCE;CURRENCY;NET;FEE;GROSS
JetBrains;JetBrainsUSD;24;{31E0F889-6F02-49E7-9534-9AA5CBE1C6CA};E000394367;visa;2019-01-13;UTC;Settled;{48688CC0-24BC-41A0-9CDE-F5B2D0BB1647};USD;165.00;9.00;174.00
JetBrains;JetBrainsUSD;24;{C5084C10-E659-4ADC-BE4E-CCB2863485B9};A000060489;visa;2019-01-06;UTC;Settled;{F32A184C-35D0-42C5-9A79-8512D916E763};USD;133.00;7.00;140.00
JetBrains;JetBrainsUSD;24;{EC4B909B-F30D-4B45-AB62-1B5F474106FE};C000645857;visa;2019-01-14;UTC;Settled;{6AE36F70-F8E6-41BB-912F-53EE234DABFE};USD;148.00;8.00;156.00
JetBrains;JetBrainsUSD;24;{FF9F1ECB-C069-4536-84E9-57F468391362};R000468923;visa;2019-01-06;UTC;Settled;{D03260F2-E04B-4F93-BC93-47F46E9EA5BB};USD;428.00;22.00;450.00
JetBrains;JetBrainsUSD;24;{406A3F7D-DC8F-4342-A001-B4EB5688FFEE};C000068312;visa;2019-01-09;UTC;Settled;{E4465A1D-01EA-4201-8458-07041DA6DC6B};USD;171.00;9.00;180.00
JetBrains;JetBrainsUSD;24;{9D67FA15-923C-4022-961E-674D8E81A551};R000276350;visa;2019-01-09;UTC;Settled;{77B14890-50F5-4EBB-A222-CD023BB79D5C};USD;552.00;29.00;581.00
JetBrains;JetBrainsUSD;24;{0F668CDB-8916-49AE-BC13-AD0EA35FB5D2};C000043391;visa;2019-01-14;UTC;Settled;{700732CB-681B-49ED-A017-8F8EC0BCC3B9};USD;106.00;6.00;112.00
JetBrains;JetBrainsUSD;24;{8CB8E1F4-82CB-430D-8827-A5157BD91641};Z000548856;visa;2019-01-07;UTC;Settled;{AD8F650A-C59D-4B5A-A54D-E24FD98BAB70};USD;641.00;34.00;675.00
JetBrains;JetBrainsUSD;24;{EFBBAF4B-3488-4163-8F3D-FBD75DE8ABB8};C000377610;visa;2019-01-12;UTC;Settled;{C4D2F1B2-DBA9-42CD-B108-16D8A4E3D00F};USD;475.00;25.00;500.00
JetBrains;JetBrainsUSD;24;{D6898954-A0A3-40B9-AA6D-873471875AE1};A000417460;mc;2019-01-07;UTC;Settled;{63D75933-3B96-41AF-B4CD-7B31259F62FD};USD;662.00;35.00;697.00
JetBrains;JetBrainsUSD;24;{F538B17F-FCE2-47E4-AD45-1AF63D3C6270};A000130489;mc;2019-01-05;UTC;Settled;{8F346864-73B8-42D1-80B5-B2C9FB175BD6};USD;190.00;10.00;200.00
JetBrains;JetBrainsUSD;24;{BF696814-FD21-464E-8DAF-D23890A5A827};E000356629;visa;2019-01-07;UTC;Settled;{7E009CED-845C-482F-A3A2-642C086BF6A0};USD;252.00;13.00;265.00
JetBrains;JetBrainsUSD;24;{7BCE1479-12F9-4635-903B-32ABD1C66917};C000119091;mc;2019-01-04;UTC;Settled;{72D4E4BA-213D-4673-9C67-13F523496736};USD;432.00;23.00;455.00
JetBrains;JetBrainsUSD;24;{64E8EAAF-FE1D-42A0-BAD9-E5B87321511E};Z000112329;visa;2019-01-15;UTC;Settled;{0CFAE92B-140D-473A-8CED-3E3D959180C1};USD;565.00;30.00;595.00
JetBrains;JetBrainsUSD;24;{F3AE3729-B633-4BF8-8C67-40E5E6A3BD8F};Z000575870;mc;2019-01-07;UTC;Settled;{FA371938-B3BC-4524-A86C-FA59C8B43253};USD;86.00;4.00;90.00
JetBrains;JetBrainsUSD;24;{C179EBC4-224C-4370-997B-128BC0574BBA};R000057014;visa;2019-01-10;UTC;Settled;{C9505365-049A-4989-9A06-869269976A1C};USD;428.00;22.00;450.00
JetBrains;JetBrainsUSD;24;{6F5FBBF0-CFA5-469A-B0A4-042EA160F657};R000648124;visa;2019-01-12;UTC;Settled;{8E39E1C9-F42E-4E77-ADA5-D7959A959636};USD;226.00;12.00;238.00
JetBrains;JetBrainsUSD;24;{EEDA94A5-D2F7-4BA8-AC6C-3086A45D1383};Z000385213;visa;2019-01-16;UTC;Settled;{CA9B8378-71E6-4F88-844E-56632712FA8B};USD;238.00;12.00;250.00
JetBrains;JetBrainsUSD;24;{C820623D-3B24-43CA-A44C-B15162B86DB0};C000129741;mc;2019-01-16;UTC;Settled;{7E3F4230-6860-4244-92B9-7EAB44FB8DBE};USD;460.00;24.00;484.00
JetBrains;JetBrainsUSD;24;{9DCC7720-BE09-41DD-B0B2-95496237AFC8};Z000460140;visa;2019-01-06;UTC;Settled;{81216711-8779-41BB-86D2-D6262B1A72E7};USD;19.00;1.00;20.00
